attraction,city,country,hotel,number_of_rooms,budget,website,RelevanceScore
Acropolis of Athens,Athens,Greece,Novus City Hotel,1,101.57,https://www.agoda.com/en-gb/novus-city-hotel/hotel/athens-gr.html,-3.368969324284739
Acropolis of Athens,Athens,Greece,Lion Hotel Apartments,1,82.76,https://www.agoda.com/en-gb/lion-hotel-apartments/hotel/athens-gr.html,-0.7014086839846565
Acropolis of Athens,Athens,Greece,Ariston Hotel,1,43.82,https://www.agoda.com/ariston-hotel/hotel/athens-gr.html,0.0665993147206229
Acropolis of Athens,Athens,Greece,Kubic Athens Smart Hotel,1,124.12,https://www.agoda.com/en-gb/kubic-athens-smart-hotel_4/hotel/athens-gr.html,-4.5948893104967645
Acropolis of Athens,Athens,Greece,The Alex,2,101.65,https://www.agoda.com/en-gb/the-alex/hotel/athens-gr.html,2.7736922147247545
Acropolis of Athens,Athens,Greece,Stalis Hotel,2,48.68,https://www.agoda.com/en-gb/stalis-hotel/hotel/athens-gr.html,0.301446751813993
Acropolis of Athens,Athens,Greece,The Cosy Squab,1,99.85,https://www.agoda.com/en-gb/the-cosy-squab/hotel/athens-gr.html,0.9661357162130224
Acropolis of Athens,Athens,Greece,Hotel Victory,1,38.49,https://www.agoda.com/en-gb/hotel-victory/hotel/athens-gr.html,-3.305845549593992
Acropolis of Athens,Athens,Greece,Athenaeum Smart Hotel,2,67.48,https://www.agoda.com/en-gb/athenaeum-smart-hotel_3/hotel/athens-gr.html,1.3443192025747206
Acropolis of Athens,Athens,Greece,Olympic Hotel,2,43.32,https://www.agoda.com/en-gb/olympic-hotel/hotel/athens-gr.html,-0.7915498234247461
Acropolis of Athens,Athens,Greece,Hotel Chris,2,51.61,https://www.agoda.com/en-gb/hotel-chris/hotel/athens-gr.html,1.8852533613298048
Acropolis of Athens,Athens,Greece,Athens Starlight Hotel,1,77.11,https://www.agoda.com/en-gb/athens-starlight-hotel/hotel/athens-gr.html,1.8790558343103647
Acropolis of Athens,Athens,Greece,Hotel London,1,38.94,https://www.agoda.com/en-gb/hotel-london/hotel/athens-gr.html,-0.0260299189347476
Acropolis of Athens,Athens,Greece,Athenaeum Eridanus Luxury Hotel,2,66.6,https://www.agoda.com/en-gb/athenaeum-eridanus-luxury-hotel/hotel/athens-gr.html,-0.3684098391496595
Acropolis of Athens,Athens,Greece,Piraeus Port Hotel,1,38.94,https://www.agoda.com/en-gb/piraeus-port-hotel/hotel/athens-gr.html,2.32138716452578
Acropolis of Athens,Athens,Greece,Best Western Acropolis Ami Boutique Hotel,1,67.19,https://www.agoda.com/en-gb/best-western-acropolis-ami-boutique-hotel/hotel/athens-gr.html,-0.9658566384777494
Acropolis of Athens,Athens,Greece,Econo Lodge,2,38.25,https://www.agoda.com/en-gb/econo-lodge/hotel/athens-gr.html,1.9709366162151116
Acropolis of Athens,Athens,Greece,Hapimag Resort Athens,1,211.14,https://www.agoda.com/en-gb/hapimag-resort-athens/hotel/athens-gr.html,5.3640808592110965
Acropolis of Athens,Athens,Greece,Hotel Cybele Pefki,1,63.36,http://www.booking.com/hotel/gr/cybele-pefki.en-gb.html,1.753673278855533
Acropolis of Athens,Athens,Greece,Queens Leriotis Hotel,2,38.94,https://www.agoda.com/en-gb/queens-leriotis-hotel/hotel/athens-gr.html,-2.1903192869049923
Acropolis of Athens,Athens,Greece,Arion Athens Hotel,1,56.07,https://www.agoda.com/en-gb/arion-athens-hotel/hotel/athens-gr.html,0.0730977058119189
Acropolis of Athens,Athens,Greece,Golden Age of Athens,2,101.26,https://www.agoda.com/en-gb/golden-age-of-athens/hotel/athens-gr.html,2.7263515431925835
Acropolis of Athens,Athens,Greece,Domotel Kastri,1,95.42,https://www.agoda.com/en-gb/domotel-kastri/hotel/athens-gr.html,2.207773450662684
Acropolis of Athens,Athens,Greece,Alter Athens,2,58.43,https://www.agoda.com/en-gb/alter-athens/hotel/athens-gr.html,0.3891771294036439
Acropolis of Athens,Athens,Greece,Blue Sky,1,39.39,https://www.agoda.com/en-gb/blue-sky/hotel/athens-gr.html,1.4560356400393415
Acropolis of Athens,Athens,Greece,Carolina Hotel,3,99.75,https://www.agoda.com/en-gb/carolina-hotel/hotel/athens-gr.html,-0.6282606705786392
Acropolis of Athens,Athens,Greece,Cecil Hotel,1,34.62,https://www.agoda.com/en-gb/cecil-hotel/hotel/athens-gr.html,1.3753806203482637
Acropolis of Athens,Athens,Greece,Hotel Areos,2,80.19,https://www.agoda.com/en-gb/hotel-areos/hotel/athens-gr.html,1.065762288413063
Acropolis of Athens,Athens,Greece,Periscope Hotel,1,169.13,https://www.agoda.com/en-gb/periscope-hotel/hotel/athens-gr.html,-3.030716037598693
Acropolis of Athens,Athens,Greece,PIRAEUS DREAM CITY HOTEL,2,43.82,https://www.agoda.com/en-gb/piraeus-dream-city-hotel/hotel/athens-gr.html,0.2414782696458113
Acropolis of Athens,Athens,Greece,Poseidonio Hotel,1,47.71,https://www.agoda.com/en-gb/poseidonio-hotel/hotel/athens-gr.html,-2.0193068726458154
Acropolis of Athens,Athens,Greece,Marina Alimos Hotel Apartments,2,74.48,https://www.agoda.com/en-gb/marina-alimos-hotel-apartments/hotel/athens-gr.html,2.54742785588977
Acropolis of Athens,Athens,Greece,Hotel Priamos,2,67.38,https://www.agoda.com/en-gb/hotel-priamos/hotel/athens-gr.html,-1.270857638858359
Acropolis of Athens,Athens,Greece,Art Hotel Athens,3,65.72,https://www.agoda.com/en-gb/art-hotel-athens/hotel/athens-gr.html,-1.8210835717260323
Acropolis of Athens,Athens,Greece,Acropolis Plaza Smart Hotel and Spa,1,80.81,https://www.agoda.com/en-gb/acropolis-plaza-smart-hotel-and-spa/hotel/athens-gr.html,-2.94151960204657
Acropolis of Athens,Athens,Greece,The Y Hotel,1,142.67,https://www.agoda.com/en-ca/the-y-hotel/hotel/athens-gr.html,0.1975173169864401
Acropolis of Athens,Athens,Greece,14 Reasons Why,1,72.32,https://www.agoda.com/en-gb/14-reasons-why/hotel/athens-gr.html,0.1920994123745975
Acropolis of Athens,Athens,Greece,Athens One Smart Hotel,1,61.6,https://www.agoda.com/en-gb/athens-one-smart-hotel/hotel/athens-gr.html,-3.140051673301211
